"country","activeDuty","paramilitary","reserves","total","pop2022"
"China","2185000","660000","1170000","4015000","1425887.3370"
"India","1455550","2526950","1155000","5137500","1417173.1730"
"United States","1388100","0","844950","2233050","338289.8570"
"North Korea","1280000","5889000","600000","7769000","26069.4160"
"Russia","1014000","554000","2000000","3568000","144713.3140"
"Pakistan","654000","291000","550000","1495000","235824.8620"
"Iran","610000","40000","350000","1000000","88550.5700"
"South Korea","599000","3013500","3100000","6712500","51815.8100"
"Vietnam","482000","5040000","5000000","10522000","98186.8560"
"Egypt","438500","397000","479000","1314500","110990.1030"
"Myanmar","406000","107000","0","513000","54179.3060"
"Indonesia","395500","280000","400000","1075500","275501.3390"
"Brazil","366500","395000","1340000","2101500","215313.4980"
"Thailand","360850","138700","200000","699550","71697.0300"
"Turkey","355200","156800","378700","890700","85341.2410"
"Colombia","293200","187900","34950","516050","51874.0240"
"Sri Lanka","255000","92600","5500","353100","21832.1430"
"Japan","247150","14350","56000","317500","123951.6920"
"Saudi Arabia","227000","24500","0","251500","36408.8200"
"Mexico","216000","111900","81500","409400","127504.1250"
"Ukraine","209000","102000","900000","1211000","39701.7390"
"France","203250","130800","41050","375100","64626.6280"
"Eritrea","201750","0","120000","321750","3684.0320"
"Morocco","195800","50000","150000","395800","37457.9710"
"Iraq","193000","148000","0","341000","44496.1220"
"South Sudan","185000","0","0","185000","10913.1640"
"Germany","183500","0","30050","213550","83369.8430"
"Afghanistan","178800","99000","0","277800","41128.7710"
"Israel","169500","8000","465000","642500","9038.3090"
"Syria","169000","100000","0","269000","22125.2490"
"Italy","165500","175750","18300","359550","59037.4740"
"Bangladesh","163050","63900","0","226950","171186.3720"
"Taiwan","163000","11800","1657000","1831800","23893.3940"
"United Kingdom","148500","0","78600","227100","67508.9360"
"Philippines","143100","62300","131000","336400","115559.0090"
"Nigeria","143000","80000","0","223000","218541.2120"
"Greece","142700","4000","221350","368050","10384.9710"
"Ethiopia","138000","0","0","138000","123379.9240"
"DR Congo","134250","0","0","134250","99010.2120"
"Algeria","130000","187200","150000","467200","44903.2250"
"Azerbaijan","126950","15000","330000","471950","10358.0740"
"Cambodia","124300","67000","0","191300","16767.8420"
"Venezuela","123000","220000","8000","351000","28301.6960"
"Spain","120350","75800","15150","211300","47558.6300"
"Poland","114050","75400","0","189450","39857.1450"
"Malaysia","113000","267200","51600","431800","33938.2210"
"Angola","107000","10000","0","117000","35588.9870"
"Sudan","104300","105000","0","209300","46874.2040"
"Jordan","100500","15000","65000","180500","11285.8690"
"Nepal","96600","15000","0","111600","30547.5800"
"Peru","81000","77000","188000","346000","34049.5880"
"Chile","77200","44700","40000","161900","19603.7330"
"Argentina","72100","31250","0","103350","45510.3180"
"Romania","69300","57000","50000","176300","19659.2670"
"Canada","67400","4500","35600","107500","38454.3270"
"South Africa","65350","0","15050","80400","59893.8850"
"United Arab Emirates","63000","0","0","63000","9441.1290"
"Lebanon","60000","20000","0","80000","5489.7390"
"Australia","58600","0","30100","88700","26177.4130"
"Dominican Republic","56050","15000","0","71050","11228.8210"
"Singapore","51000","7400","252500","310900","5975.6890"
"Cuba","49000","1146500","39000","1234500","11212.1910"
"Uzbekistan","48000","20000","0","68000","34627.6520"
"Belarus","45350","110000","289500","444850","9534.9540"
"Uganda","45000","1400","10000","56400","47249.5850"
"Armenia","44800","4300","210000","259100","2780.4690"
"Oman","42600","4400","0","47000","4576.2980"
"Ecuador","40250","500","118000","158750","18001"
"Yemen","40000","0","0","40000","33696.6140"
"Kazakhstan","39000","31500","0","70500","19397.9980"
"Bulgaria","36950","0","3000","39950","6781.9530"
"Turkmenistan","36500","5000","0","41500","6430.7700"
"Tunisia","35800","12000","0","47800","12356.1170"
"Netherlands","35400","5900","4500","45800","17564.0140"
"Bolivia","34100","37100","0","71200","12224.1100"
"Chad","33250","11900","0","45150","17723.3150"
"Rwanda","33000","2000","0","35000","13776.6980"
"Burundi","30050","21000","0","51050","12889.5760"
"Sweden","29750","21200","0","50950","10549.3470"
"Laos","29100","100000","0","129100","7529.4750"
"Zimbabwe","29000","21800","0","50800","16320.5370"
"Serbia","28150","3700","50150","82000","7221.3650"
"Hungary","27800","12000","20000","59800","9967.3080"
"Ivory Coast","27400","0","0","27400","28160.5420"
"Portugal","27250","24700","211700","263650","10270.8650"
"Tanzania","27000","1400","80000","108400","65497.7480"
"Belgium","26300","0","5100","31400","11655.9300"
"Cameroon","25400","9000","0","34400","27914.5360"
"El Salvador","24500","17000","9900","51400","6336.3920"
"Kenya","24100","5000","0","29100","54027.4870"
"Finland","23800","14200","216000","254000","5540.7450"
"Norway","23250","0","40000","63250","5434.3190"
"Austria","22050","0","125600","147650","8939.6170"
"Czech Republic","21750","0","0","21750","10493.9860"
"Uruguay","21000","1400","0","22400","3422.7940"
"Georgia","20650","5400","0","26050","3744.3850"
"Lithuania","19850","14400","6700","40950","2750.0550"
"Somalia","19800","0","0","19800","17597.5110"
"Switzerland","19550","0","196450","216000","8740.4720"
"Guatemala","18050","25000","63850","106900","17843.9080"
"Kuwait","17500","7100","23700","48300","4268.8730"
"Qatar","16500","5000","0","21500","2695.1220"
"Mauritania","15850","5000","0","20850","4736.1390"
"Slovakia","15850","0","0","15850","5643.4530"
"Ghana","15500","0","0","15500","33475.8700"
"Croatia","15200","3000","18350","36550","4030.3580"
"Zambia","15100","1400","3000","19500","20017.6750"
"Cyprus","15000","750","50000","65750","1251.4880"
"Honduras","14950","8000","60000","82950","10432.8600"
"Denmark","14500","0","44000","58500","5882.2610"
"Paraguay","13950","14800","164500","193250","6780.7440"
"Senegal","13600","5000","0","18600","17316.4490"
"Madagascar","13500","8100","0","21600","29611.7140"
"Mali","13000","7800","0","20800","22593.5900"
"Nicaragua","12000","0","0","12000","6948.3920"
"Burkina Faso","11200","250","0","11450","22673.7620"
"Mozambique","11200","0","0","11200","32969.5180"
"Kyrgyzstan","10900","9500","0","20400","6630.6230"
"Malawi","10700","4200","0","14900","20405.3170"
"Bosnia and Herzegovina","10500","0","0","10500","3233.5260"
"Djibouti","10450","2650","0","13100","1120.8490"
"Republic of the Congo","10000","2000","0","12000","5970.4240"
"Namibia","9900","6000","0","15900","2567.0120"
"Mongolia","9700","7500","137000","154200","3398.3660"
"Guinea","9700","2600","0","12300","13859.3410"
"Ireland","9500","0","4050","13550","5023.1090"
"Central African Republic","9150","1000","0","10150","5579.1440"
"New Zealand","9000","0","2300","11300","5185.2880"
"Botswana","9000","0","0","9000","2630.2960"
"Tajikistan","8800","7500","0","16300","9952.7870"
"Togo","8550","750","0","9300","8848.6990"
"Sierra Leone","8500","0","0","8500","8605.7180"
"Bahrain","8200","11260","0","19460","1472.2330"
"North Macedonia","8000","7600","4850","20450","2093.5990"
"Albania","8000","0","0","8000","2842.3210"
"Slovenia","7250","5950","1500","14700","2119.8440"
"Benin","7250","4800","0","12050","13352.8640"
"Brunei","7200","450","700","8350","449.0020"
"Estonia","7100","0","17500","24600","1326.0620"
"Latvia","6210","0","15900","22110","1850.6510"
"Niger","5300","5400","0","10700","26207.9770"
"Moldova","5150","900","58000","64050","3272.9960"
"Gabon","4700","2000","0","6700","2388.9920"
"Guinea-Bissau","4450","0","0","4450","2105.5660"
"Trinidad and Tobago","4050","0","0","4050","1531.0440"
